Time;cpu
2016-09-07 08:55:48.371;1.04
2016-09-07 08:56:18.386;0.98
2016-09-07 08:56:48.370;0.75
2016-09-07 08:57:18.381;0.51
2016-09-07 08:57:48.372;0.46
2016-09-07 08:58:18.387;0.28
2016-09-07 08:58:48.374;0.32
2016-09-07 08:59:18.392;0.87
2016-09-07 08:59:48.374;1.31
2016-09-07 09:00:18.383;1.65
2016-09-07 09:00:48.377;1.51
2016-09-07 09:01:18.396;1.22
2016-09-07 09:01:48.377;1.04
2016-09-07 09:02:18.392;1.42
2016-09-07 09:02:48.379;1.51
2016-09-07 09:03:18.404;1.58
2016-09-07 09:03:48.383;1.64
2016-09-07 09:04:18.413;1.13
2016-09-07 09:04:48.382;0.68
2016-09-07 09:05:18.419;0.71
2016-09-07 09:05:48.386;0.58
2016-09-07 09:06:18.404;0.6
2016-09-07 09:06:48.388;0.53
2016-09-07 09:07:18.410;0.48
2016-09-07 09:07:48.389;0.29
2016-09-07 09:08:18.408;0.34
2016-09-07 09:08:48.391;0.43
2016-09-07 09:09:18.404;0.75
2016-09-07 09:09:48.393;1.24
2016-09-07 09:10:18.406;1.54
2016-09-07 09:10:48.394;1.79
2016-09-07 09:11:18.418;1.75
2016-09-07 09:11:48.397;1.97
2016-09-07 09:12:18.423;1.79
2016-09-07 09:12:48.400;1.38
2016-09-07 09:13:18.423;1.37
2016-09-07 09:13:48.401;1.62
2016-09-07 09:14:18.430;1.66
2016-09-07 09:14:48.402;1.68
2016-09-07 09:15:18.427;1.61
2016-09-07 09:15:48.404;1.4
2016-09-07 09:16:18.421;1.22
2016-09-07 09:16:48.406;0.85
2016-09-07 09:17:18.432;0.8
2016-09-07 09:17:48.408;0.48
2016-09-07 09:18:18.428;0.43
2016-09-07 09:18:48.420;0.89
2016-09-07 09:19:18.429;0.64
2016-09-07 09:19:48.411;0.96
2016-09-07 09:20:18.424;1.44
2016-09-07 09:20:48.414;1.66
2016-09-07 09:21:18.431;1.79
2016-09-07 09:21:48.415;1.61
2016-09-07 09:22:18.439;1.35
2016-09-07 09:22:48.415;1.32
